City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kahului,US,2022-01-25 14:59:54,20.8947,-156.47,71.83,89,3,5.99
1,Kendari,ID,2022-01-25 15:04:53,-3.945,122.4989,77.25,90,69,1.12
2,Hithadhoo,MV,2022-01-25 15:04:53,-0.6,73.0833,81.88,66,71,15.73
3,Yellowknife,CA,2022-01-25 15:04:53,62.456,-114.3525,5.41,92,100,15.01
4,Chiredzi,ZW,2022-01-25 15:04:54,-21.05,31.6667,75.24,82,100,11.48
5,Ambunti,PG,2022-01-25 15:04:54,-4.2365,142.8448,74.48,97,100,1.66
6,Comodoro Rivadavia,AR,2022-01-25 15:00:01,-45.8667,-67.5,59.68,67,26,12.1
7,Agadez,NE,2022-01-25 15:04:54,19.75,10.25,68.27,14,0,12.01
8,Marawi,PH,2022-01-25 15:04:55,7.9986,124.2928,66.65,99,100,3.33
9,Port Alfred,ZA,2022-01-25 15:04:55,-33.5906,26.891,76.01,72,43,14.36
10,Hermanus,ZA,2022-01-25 15:04:55,-34.4187,19.2345,80.91,63,52,20.04
11,Ilulissat,GL,2022-01-25 15:04:56,69.2167,-51.1,17.62,79,100,3.44
12,Yuanping,CN,2022-01-25 15:04:56,38.7153,112.7575,26.8,48,37,4.47
13,Leh,IN,2022-01-25 15:04:56,34.1667,77.5833,-4.72,83,30,2.93
14,Sinnai,IT,2022-01-25 15:04:57,39.3042,9.2036,55.54,54,20,9.22
15,Carnarvon,AU,2022-01-25 15:04:57,-24.8667,113.6333,75.27,73,0,20.71
16,Mahebourg,MU,2022-01-25 15:04:57,-20.4081,57.7,78.26,66,55,14.65
17,Lompoc,US,2022-01-25 15:04:58,34.6391,-120.4579,56.12,85,100,5.75
18,Desna,UA,2022-01-25 15:04:58,50.9273,30.7605,21.92,89,99,5.14
19,Rikitea,PF,2022-01-25 15:04:58,-23.1203,-134.9692,77.61,76,100,17.27
20,Ushuaia,AR,2022-01-25 15:04:59,-54.8,-68.3,44.22,81,75,27.63
21,Barrow,US,2022-01-25 15:04:59,71.2906,-156.7887,5.02,78,100,20.71
22,Punta Arenas,CL,2022-01-25 15:02:12,-53.15,-70.9167,51.12,50,83,25.23
23,Airai,TL,2022-01-25 15:05:00,-8.9266,125.4092,61.99,85,100,2.89
24,Esperance,AU,2022-01-25 15:05:00,-33.8667,121.9,65.39,83,100,13.98
25,Kapaa,US,2022-01-25 15:05:00,22.0752,-159.319,71.92,65,40,13.8
26,Padang,ID,2022-01-25 15:05:01,-0.9492,100.3543,78.85,83,100,1.52
27,Hilo,US,2022-01-25 15:02:53,19.7297,-155.09,67.24,86,65,7.0
28,Camargo,MX,2022-01-25 15:05:01,27.6667,-105.1667,48.9,22,0,4.29
29,Port-Gentil,GA,2022-01-25 15:05:02,-0.7193,8.7815,80.71,76,55,9.33
30,Gunjur,GM,2022-01-25 15:05:02,13.2019,-16.7339,89.67,23,0,12.66
31,Sale,MA,2022-01-25 15:03:12,34.0389,-6.8166,68.68,45,40,8.05
32,Dikson,RU,2022-01-25 15:05:02,73.5069,80.5464,10.63,92,100,35.99
